episode,env_id,crash,success,timeout,success_time
741,17,False,True,False,80
741,38,True,False,False,0
742,37,False,True,False,75
743,11,False,True,False,67
744,36,True,False,False,0
745,29,True,False,False,71
746,34,True,False,False,75
747,0,True,False,False,0
748,54,True,False,False,0
749,33,True,False,False,0
750,21,False,True,False,69
751,17,True,False,False,0
752,59,True,False,False,0
753,20,True,False,False,0
754,56,True,False,False,0
755,54,True,False,False,0
756,33,True,False,False,0
756,46,False,True,False,63
757,3,True,False,False,172
758,24,False,True,False,120
759,31,True,False,False,0
760,56,True,False,False,0
761,11,True,False,False,0
762,58,True,False,False,74
763,3,True,False,False,0
763,34,True,False,False,0
764,50,False,True,False,74
765,20,True,False,False,0
766,60,False,True,False,248
767,46,True,False,False,0
768,11,True,False,False,0
768,39,False,True,False,68
769,21,True,False,False,0
770,3,True,False,False,0
771,42,False,True,False,119
772,20,True,False,False,0
772,22,False,True,False,86
773,41,False,True,False,73
774,15,True,False,False,85
774,17,True,False,False,0
775,26,True,False,False,105
776,36,True,False,False,0
777,16,False,True,False,78
778,39,True,False,False,0
779,2,False,True,False,71
780,57,False,True,False,102
781,0,True,False,False,0
781,56,True,False,False,74
782,26,True,False,False,0
783,42,True,False,False,0
784,31,True,False,False,0
785,3,True,False,False,0
786,32,False,True,False,71
787,1,True,False,False,75
788,19,False,True,False,90
789,3,True,False,False,0
790,32,True,False,False,0
791,20,True,False,False,0
792,24,True,False,False,0
792,37,True,False,False,75
792,48,False,True,False,66
793,27,False,True,False,101
793,61,False,True,False,68
794,39,True,False,False,0
795,62,True,False,False,67
796,37,True,False,False,0
797,45,False,True,False,183
798,32,True,False,False,0
799,35,False,True,False,73
800,1,True,False,False,0
800,45,True,False,False,0
801,42,True,False,False,0
802,29,True,False,False,91
803,14,False,True,False,63
804,35,True,False,False,0
805,18,False,True,False,65
806,28,False,True,False,95
807,53,True,False,False,90
808,25,False,True,False,60
809,40,False,True,False,0
810,53,True,False,False,0
811,30,False,True,False,64
812,32,True,False,False,0
813,15,True,False,False,84
814,13,False,True,False,66
815,53,True,False,False,0
816,57,True,False,False,74
817,18,True,False,False,0
817,61,True,False,False,0
818,31,True,False,False,82
819,39,True,False,False,0
820,52,False,True,False,0
821,35,True,False,False,0
822,2,True,False,False,0
823,49,False,True,False,152
824,13,True,False,False,0
825,9,False,True,False,71
826,0,True,False,False,0
826,57,True,False,False,0
827,35,True,False,False,0
828,43,False,True,False,0
829,6,False,True,False,75
830,2,True,False,False,0
831,5,False,True,False,155
832,49,True,False,False,0
833,18,True,False,False,0
834,23,False,True,False,80
835,29,True,False,False,74
836,42,True,False,False,71
837,15,True,False,False,0
838,8,False,True,False,73
839,31,True,False,False,0
840,1,True,False,False,82
841,5,True,False,False,0
842,15,True,False,False,0
843,55,False,True,False,66
844,4,False,True,False,100
845,52,True,False,False,0
846,23,True,False,False,0
847,37,True,False,False,0
848,9,True,False,False,0
849,15,True,False,False,0
850,23,True,False,False,0
851,18,True,False,False,0
852,4,True,False,False,0
853,10,False,True,False,124
854,4,True,False,False,0
855,25,True,False,False,0
856,63,False,True,False,82
857,1,True,False,False,0
858,51,False,True,False,135
859,7,False,True,False,89
860,30,True,False,False,87
861,12,False,True,False,81
862,47,False,True,False,85
863,24,True,False,False,82
864,56,True,False,False,204
865,4,True,False,False,0
865,10,True,False,False,0
866,44,False,True,False,132
867,0,True,False,False,0
868,61,True,False,False,76
869,7,True,False,False,0
870,38,False,True,False,153
871,16,True,False,False,137
872,44,True,False,False,0
873,39,True,False,False,0
874,51,True,False,False,0
875,59,False,True,False,269
876,54,False,True,False,0
877,10,True,False,False,0
878,3,True,False,False,0
879,33,False,True,False,78
880,9,True,False,False,84
881,37,True,False,False,90
882,58,False,True,False,103
883,36,True,False,False,369
884,34,False,True,False,89
885,63,True,False,False,0
886,0,True,False,False,0
887,50,False,True,False,154
888,60,False,True,False,0
889,46,False,True,False,176
890,54,True,False,False,0
891,11,False,True,False,72
892,21,False,True,False,71
893,37,True,False,False,0
894,10,True,False,False,0
895,54,True,False,False,0
896,51,True,False,False,0
897,22,False,True,False,67
898,28,True,False,False,0
899,51,True,False,False,0
900,41,False,True,False,112
901,17,False,True,False,73
902,39,True,False,False,0
903,16,True,False,False,0
903,22,True,False,False,0
904,54,True,False,False,0
905,36,True,False,False,67
906,39,True,False,False,0
907,26,False,True,False,68
907,36,True,False,False,0
908,22,True,False,False,0
